criterion,criterion_value,mode,scorer,seed,alpha,topk,smooth,beta,hyst_mult,head,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_F1,TESTACC_Accuracy,TESTACC_F1,TESTHY_Accuracy,TESTHY_F1,TEST_EventRecall
TESTACC_F1,0.10397553516819572,net_only,semisup,2024,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8805860805860806,0.13147410358565736,0.05238095238095238,0.07491486946651532,0.3977996848456897,0.08064706371136171,0.7345054945054945,0.11089303238469088,0.8282783882783883,0.10397553516819572,0.7345054945054945,0.11089303238469088,0.15789473684210525
TESTHY_F1,0.18389766741911212,net_only,semisup,42,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8961400065423618,0.41025641025641024,0.025477707006369428,0.047976011994003,0.5394971798509698,0.20876673319769937,0.1130192999672882,0.18389766741911212,0.8984298331697743,0.04900459418070444,0.1130192999672882,0.18389766741911212,0.0625
TEST_ROC-AUC,0.5394971798509698,net_only,semisup,42,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8961400065423618,0.41025641025641024,0.025477707006369428,0.047976011994003,0.5394971798509698,0.20876673319769937,0.1130192999672882,0.18389766741911212,0.8984298331697743,0.04900459418070444,0.1130192999672882,0.18389766741911212,0.0625
TEST_PR-AUC,0.20876673319769937,net_only,semisup,42,,,20,1.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8961400065423618,0.41025641025641024,0.025477707006369428,0.047976011994003,0.5394971798509698,0.20876673319769937,0.1130192999672882,0.18389766741911212,0.8984298331697743,0.04900459418070444,0.1130192999672882,0.18389766741911212,0.0625
TEST_Accuracy,0.8965291421087099,net_only,unsup,7,1.0,20.0,40,0.0,1,"{""kind"": ""logreg"", ""C"": 1.0}",0.8965291421087099,0.0,0.0,0.0,0.5432606956939834,0.14099559922253307,0.6242632612966601,0.24082037710883228,0.8965291421087099,0.0,0.6242632612966601,0.24082037710883228,0.0
TESTACC_Accuracy,0.9049992669696525,net_only,unsup,31337,1.0,20.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8482627180765284,0.012165450121654502,0.007886435331230283,0.009569377990430622,0.6412469872975747,0.1431830284841613,0.1309192200557103,0.17552155771905426,0.9049992669696525,0.0,0.1309192200557103,0.17552155771905426,0.1111111111111111
TESTOP_Accuracy,0.7748822143698468,net_only,unsup,123,1.0,20.0,30,0.0,1,"{""kind"": ""gbm"", ""lr"": 0.1, ""leaves"": 15, ""max_iter"": 200, ""l2"": 5.0}",0.8442285041224971,0.046610169491525424,0.03492063492063492,0.039927404718693285,0.48051060519414945,0.09355820662418671,0.7748822143698468,0.18799787573021773,0.8791224970553593,0.0,0.7748822143698468,0.18799787573021773,0.11764705882352941
TESTHY_Accuracy,0.7748822143698468,net_only,unsup,123,1.0,20.0,30,0.0,1,"{""kind"": ""gbm"", ""lr"": 0.1, ""leaves"": 15, ""max_iter"": 200, ""l2"": 5.0}",0.8442285041224971,0.046610169491525424,0.03492063492063492,0.039927404718693285,0.48051060519414945,0.09355820662418671,0.7748822143698468,0.18799787573021773,0.8791224970553593,0.0,0.7748822143698468,0.18799787573021773,0.11764705882352941
TEST_F1,0.039927404718693285,net_only,unsup,123,1.0,20.0,30,0.0,1,"{""kind"": ""gbm"", ""lr"": 0.1, ""leaves"": 15, ""max_iter"": 200, ""l2"": 5.0}",0.8442285041224971,0.046610169491525424,0.03492063492063492,0.039927404718693285,0.48051060519414945,0.09355820662418671,0.7748822143698468,0.18799787573021773,0.8791224970553593,0.0,0.7748822143698468,0.18799787573021773,0.11764705882352941
TESTOP_F1,0.24209575429087624,net_only,unsup,2024,1.0,20.0,30,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.8402930402930403,0.0,0.0,0.0,0.5400659774267522,0.1096812471271861,0.7541391941391942,0.24209575429087624,0.8814652014652015,0.0,0.7541391941391942,0.24209575429087624,0.0
