mode,seed,scorer,target_FPR,threshold,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_FPR,TEST_TN,TEST_FP,TEST_FN,TEST_TP,TEST_ROC-AUC,TEST_PR-AUC
fused,2024,hybrid,0.01,5.551891575783655,0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.014043583535108957,6108,87,373,257,0.7291581792792446,0.5144105698599363
fused,2024,hybrid,0.02,4.848672865296044,0.9219047619047619,0.6104783599088838,0.4253968253968254,0.5014031805425632,0.02760290556900726,6024,171,362,268,0.7291581792792446,0.5144105698599363
fused,2024,hybrid,0.05,3.832951023396731,0.8987545787545788,0.45508100147275404,0.49047619047619045,0.4721161191749427,0.059725585149313955,5825,370,321,309,0.7291581792792446,0.5144105698599363
fused,2024,hybrid,0.1,3.086750678299906,0.84996336996337,0.31309297912713474,0.5238095238095238,0.3919239904988123,0.11686844229217108,5471,724,300,330,0.7291581792792446,0.5144105698599363
fused,31337,unsup,0.001,12.623384136072437,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.7960282550315381,0.41255649436133457
fused,31337,unsup,0.002,12.420568633150017,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.7960282550315381,0.41255649436133457
fused,31337,unsup,0.005,12.048858528904203,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.7960282550315381,0.41255649436133457
fused,31337,unsup,0.01,8.325164351515518,0.9124761765137077,0.8775510204081632,0.06782334384858044,0.1259150805270864,0.0009697753353806367,6181,6,591,43,0.7960282550315381,0.41255649436133457
fused,31337,unsup,0.02,5.912102419336761,0.9121829643747251,0.8301886792452831,0.0694006309148265,0.12809315866084425,0.001454663003070955,6178,9,590,44,0.7960282550315381,0.41255649436133457
fused,31337,unsup,0.05,4.3863797097455395,0.9121829643747251,0.7108433734939759,0.09305993690851735,0.16457461645746166,0.0038791013415225466,6163,24,575,59,0.7960282550315381,0.41255649436133457
fused,31337,unsup,0.1,3.6519125758694604,0.9120363583052339,0.6976744186046512,0.0946372239747634,0.16666666666666666,0.004202359786649425,6161,26,574,60,0.7960282550315381,0.41255649436133457
fused,31337,semisup,0.001,10.860390822353294,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.4725591055632574,0.1119235274641986
fused,31337,semisup,0.002,10.855126618208054,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.4725591055632574,0.1119235274641986
fused,31337,semisup,0.005,10.849486376699998,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.4725591055632574,0.1119235274641986
fused,31337,semisup,0.01,7.185566751144455,0.9086644187069345,0.8235294117647058,0.022082018927444796,0.043010752688172046,0.0004848876676903183,6184,3,620,14,0.4725591055632574,0.1119235274641986
fused,31337,semisup,0.02,5.405046625939878,0.9030933880662659,0.2631578947368421,0.02365930599369085,0.04341534008683068,0.006788427347664457,6145,42,619,15,0.4725591055632574,0.1119235274641986
fused,31337,semisup,0.05,4.467086677529778,0.8879929629086645,0.19047619047619047,0.06309148264984227,0.0947867298578199,0.027476967835784707,6017,170,594,40,0.4725591055632574,0.1119235274641986
fused,31337,semisup,0.1,3.7437650608468727,0.8497287787714412,0.08668076109936575,0.06466876971608833,0.07407407407407407,0.06982382414740584,5755,432,593,41,0.4725591055632574,0.1119235274641986
fused,31337,hybrid,0.001,12.623384136072437,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.7960282550315381,0.41255649436133457
fused,31337,hybrid,0.002,12.420568633150017,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.7960282550315381,0.41255649436133457
fused,31337,hybrid,0.005,12.048858528904203,0.9070517519425304,0.0,0.0,0.0,0.0,6187,0,634,0,0.7960282550315381,0.41255649436133457
fused,31337,hybrid,0.01,8.325164351515518,0.9124761765137077,0.8775510204081632,0.06782334384858044,0.1259150805270864,0.0009697753353806367,6181,6,591,43,0.7960282550315381,0.41255649436133457
fused,31337,hybrid,0.02,5.912102419336761,0.9121829643747251,0.8301886792452831,0.0694006309148265,0.12809315866084425,0.001454663003070955,6178,9,590,44,0.7960282550315381,0.41255649436133457
fused,31337,hybrid,0.05,4.3863797097455395,0.9121829643747251,0.7108433734939759,0.09305993690851735,0.16457461645746166,0.0038791013415225466,6163,24,575,59,0.7960282550315381,0.41255649436133457
fused,31337,hybrid,0.1,3.6519125758694604,0.9120363583052339,0.6976744186046512,0.0946372239747634,0.16666666666666666,0.004202359786649425,6161,26,574,60,0.7960282550315381,0.41255649436133457
net_only,42,unsup,0.001,4.397897080580946,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.43959697063283265,0.11177756944621346
net_only,42,unsup,0.002,4.230750065122116,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.43959697063283265,0.11177756944621346
net_only,42,unsup,0.005,3.872705582133619,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.43959697063283265,0.11177756944621346
net_only,42,unsup,0.01,3.505245392459313,0.8959764474975466,0.0,0.0,0.0,0.0014582573824279983,5478,8,628,0,0.43959697063283265,0.11177756944621346
net_only,42,unsup,0.02,2.8349231192762163,0.8861629048086359,0.014285714285714285,0.0015923566878980893,0.0028653295128939827,0.012577469923441486,5417,69,627,1,0.43959697063283265,0.11177756944621346
net_only,42,unsup,0.05,2.2976127559083115,0.8707883545960091,0.18846153846153846,0.07802547770700637,0.11036036036036036,0.03846153846153846,5275,211,579,49,0.43959697063283265,0.11177756944621346
net_only,42,unsup,0.1,1.661835827625866,0.7070657507360157,0.12843450479233226,0.3200636942675159,0.18331053351573187,0.2486328837039737,4122,1364,427,201,0.43959697063283265,0.11177756944621346
net_only,42,semisup,0.001,1.2326750177718429,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.5394971798509698,0.20876673319769937
net_only,42,semisup,0.002,1.2326750177718424,0.8992476283938502,1.0,0.01910828025477707,0.0375,0.0,5486,0,616,12,0.5394971798509698,0.20876673319769937
net_only,42,semisup,0.005,1.2326750177718397,0.8984298331697743,0.64,0.025477707006369428,0.04900459418070444,0.001640539555231498,5477,9,612,16,0.5394971798509698,0.20876673319769937
net_only,42,semisup,0.01,1.232674813369613,0.8961400065423618,0.41025641025641024,0.025477707006369428,0.047976011994003,0.004192489974480495,5463,23,612,16,0.5394971798509698,0.20876673319769937
net_only,42,semisup,0.02,1.1634252944603505,0.8954857703631011,0.4485981308411215,0.07643312101910828,0.1306122448979592,0.010754648195406488,5427,59,580,48,0.5394971798509698,0.20876673319769937
net_only,42,semisup,0.05,1.117142411656438,0.8814196925089958,0.29004329004329005,0.10668789808917198,0.1559953434225844,0.029894276339773967,5322,164,561,67,0.5394971798509698,0.20876673319769937
net_only,42,semisup,0.1,1.0954846898003725,0.8794569839712136,0.3046594982078853,0.13535031847133758,0.1874310915104741,0.03536274152387896,5292,194,543,85,0.5394971798509698,0.20876673319769937
net_only,42,hybrid,0.001,4.397897080580946,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.43959697063283265,0.11177756944621346
net_only,42,hybrid,0.002,4.230750065122116,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.43959697063283265,0.11177756944621346
net_only,42,hybrid,0.005,3.872705582133619,0.8972849198560681,0.0,0.0,0.0,0.0,5486,0,628,0,0.43959697063283265,0.11177756944621346
net_only,42,hybrid,0.01,3.505245392459313,0.8959764474975466,0.0,0.0,0.0,0.0014582573824279983,5478,8,628,0,0.43959697063283265,0.11177756944621346
net_only,42,hybrid,0.02,2.8349231192762163,0.8861629048086359,0.014285714285714285,0.0015923566878980893,0.0028653295128939827,0.012577469923441486,5417,69,627,1,0.43959697063283265,0.11177756944621346
net_only,42,hybrid,0.05,2.2976127559083115,0.8707883545960091,0.18846153846153846,0.07802547770700637,0.11036036036036036,0.03846153846153846,5275,211,579,49,0.43959697063283265,0.11177756944621346
net_only,42,hybrid,0.1,1.661835827625866,0.7070657507360157,0.12843450479233226,0.3200636942675159,0.18331053351573187,0.2486328837039737,4122,1364,427,201,0.43959697063283265,0.11177756944621346
net_only,7,unsup,0.001,2.749282681227635,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.5432606956939834,0.14099559922253307
net_only,7,unsup,0.002,2.560035470269436,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.5432606956939834,0.14099559922253307
net_only,7,unsup,0.005,2.379506536650539,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.5432606956939834,0.14099559922253307
net_only,7,unsup,0.01,2.1172710464517,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.5432606956939834,0.14099559922253307
net_only,7,unsup,0.02,1.8720019532090377,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.5432606956939834,0.14099559922253307
net_only,7,unsup,0.05,1.308921266771303,0.8831041257367387,0.1796875,0.03639240506329114,0.060526315789473685,0.019174579985390794,5371,105,609,23,0.5432606956939834,0.14099559922253307
net_only,7,unsup,0.1,0.7849606716373246,0.6938441388343156,0.1446613088404133,0.3987341772151899,0.21229991575400167,0.27209642074506935,3986,1490,380,252,0.5432606956939834,0.14099559922253307
net_only,7,semisup,0.001,0.6744929145891093,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.41168467582361695,0.14343965863305724
net_only,7,semisup,0.002,0.674492914589109,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.41168467582361695,0.14343965863305724
net_only,7,semisup,0.005,0.6744929145891063,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.41168467582361695,0.14343965863305724
net_only,7,semisup,0.01,0.6744907577722757,0.8966928618205632,0.5454545454545454,0.00949367088607595,0.01866251944012442,0.0009130752373995616,5471,5,626,6,0.41168467582361695,0.14343965863305724
net_only,7,semisup,0.02,0.6744907577722189,0.8955468238375901,0.44,0.03481012658227848,0.06451612903225806,0.005113221329437545,5448,28,610,22,0.41168467582361695,0.14343965863305724
net_only,7,semisup,0.05,0.6609220417861168,0.8914538310412574,0.3577981651376147,0.061708860759493674,0.10526315789473684,0.012783053323593863,5406,70,593,39,0.41168467582361695,0.14343965863305724
net_only,7,semisup,0.1,0.6558922623307752,0.8904715127701375,0.3391304347826087,0.061708860759493674,0.10441767068273092,0.013878743608473337,5400,76,593,39,0.41168467582361695,0.14343965863305724
net_only,7,hybrid,0.001,0.5791646781455334,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.467479062838069,0.12788348190253593
net_only,7,hybrid,0.002,0.546924767618549,0.8965291421087099,0.0,0.0,0.0,0.0,5476,0,632,0,0.467479062838069,0.12788348190253593
net_only,7,hybrid,0.005,0.5395945472895748,0.8963654223968566,0.0,0.0,0.0,0.00018261504747991232,5475,1,632,0,0.467479062838069,0.12788348190253593
net_only,7,hybrid,0.01,0.5395945472895748,0.8963654223968566,0.0,0.0,0.0,0.00018261504747991232,5475,1,632,0,0.467479062838069,0.12788348190253593
net_only,7,hybrid,0.02,0.5395945472895748,0.8963654223968566,0.0,0.0,0.0,0.00018261504747991232,5475,1,632,0,0.467479062838069,0.12788348190253593
net_only,7,hybrid,0.05,0.5395945472895677,0.8955468238375901,0.45,0.04272151898734177,0.07803468208092486,0.006026296566837106,5443,33,605,27,0.467479062838069,0.12788348190253593
net_only,7,hybrid,0.1,0.5395945472895677,0.8955468238375901,0.45,0.04272151898734177,0.07803468208092486,0.006026296566837106,5443,33,605,27,0.467479062838069,0.12788348190253593
net_only,123,unsup,0.001,2.6204237858187738,0.8786808009422851,0.0,0.0,0.0,0.03148328464784161,5968,194,630,0,0.48051060519414945,0.09355820662418671
net_only,123,unsup,0.002,2.5901901268862124,0.8780918727915195,0.0,0.0,0.0,0.032132424537487825,5964,198,630,0,0.48051060519414945,0.09355820662418671
net_only,123,unsup,0.005,2.3249277516135747,0.859982332155477,0.009174311926605505,0.004761904761904762,0.006269592476489028,0.05258033106134371,5838,324,627,3,0.48051060519414945,0.09355820662418671
net_only,123,unsup,0.01,2.13096122189679,0.8442285041224971,0.046610169491525424,0.03492063492063492,0.039927404718693285,0.07302823758519959,5712,450,608,22,0.48051060519414945,0.09355820662418671
net_only,123,unsup,0.02,1.9851409248374103,0.8389281507656066,0.052123552123552123,0.04285714285714286,0.047038327526132406,0.07968192145407334,5671,491,603,27,0.48051060519414945,0.09355820662418671
